translator,family,language,domain,cosine,bleu,ter,embedding
nllb,germanic,de,cultural,0.975359,55.0182,28.9866,0.90488201379776
nllb,germanic,nl,cultural,0.975357,57.3514,26.8256,0.9128770232200624
nllb,germanic,sv,cultural,0.973725,54.6027,27.5708,0.9048709869384766
nllb,germanic,da,cultural,0.974825,57.2993,26.6766,0.9011210203170776
nllb,germanic,no,cultural,0.976569,59.0149,23.5469,0.9099329710006714
nllb,germanic,af,cultural,0.973529,53.8451,29.1356,0.888355016708374
nllb,germanic,is,cultural,0.954632,37.1286,41.8778,0.8131060004234314
nllb,germanic,de,idiomatic,0.976387,52.2203,32.2364,0.8717989921569824
nllb,germanic,nl,idiomatic,0.978981,56.2822,29.0799,0.8820760250091553
nllb,germanic,sv,idiomatic,0.978617,56.7506,27.1995,0.8717520236968994
nllb,germanic,da,idiomatic,0.978309,57.65,27.5353,0.8798059821128845
nllb,germanic,no,idiomatic,0.982484,63.5967,21.6924,0.8868950009346008
nllb,germanic,af,idiomatic,0.978447,54.7577,30.2216,0.8676239848136902
nllb,germanic,is,idiomatic,0.964447,42.8319,38.8852,0.7699049711227417
nllb,germanic,de,technical,0.965523,48.8457,35.8653,0.8759829998016357
nllb,germanic,nl,technical,0.968093,49.3869,32.8113,0.8812609910964966
nllb,germanic,sv,technical,0.964719,49.3297,34.0642,0.8607820272445679
nllb,germanic,da,technical,0.968552,54.5235,28.7392,0.8820300102233887
nllb,germanic,no,technical,0.966074,53.4001,27.4863,0.8880810141563416
nllb,germanic,af,technical,0.971856,58.775,24.354,0.8819699883460999
nllb,germanic,is,technical,0.926445,23.6409,55.5208,0.6403809785842896
nllb,germanic,de,legal,0.97252,36.0883,43.2843,0.8231390118598938
nllb,germanic,nl,legal,0.974581,39.2518,41.196,0.8341659903526306
nllb,germanic,sv,legal,0.972419,36.7616,42.9995,0.8211879730224609
nllb,germanic,da,legal,0.971653,36.4958,43.8064,0.8155879974365234
nllb,germanic,no,legal,0.971055,39.2031,41.196,0.8216120004653931
nllb,germanic,af,legal,0.979476,47.9583,34.0294,0.8575630187988281
nllb,germanic,is,legal,0.958892,25.4696,56.336,0.7067800164222717
nllb,germanic,de,emotional,0.986005,51.8019,32.9819,0.9025239944458008
nllb,germanic,nl,emotional,0.986618,54.0737,30.6727,0.901980996131897
nllb,germanic,sv,emotional,0.986436,55.7441,28.1627,0.901256024837494
nllb,germanic,da,emotional,0.987081,57.0137,27.259,0.9032509922981262
nllb,germanic,no,emotional,0.989511,60.2822,23.8454,0.9101719856262208
nllb,germanic,af,emotional,0.986518,55.7229,28.5141,0.8954660296440125
nllb,germanic,is,emotional,0.98037,45.0032,40.3112,0.8292589783668518
nllb,slavic,ru,conversational,0.982426,48.0701,39.6996,0.7769269943237305
nllb,slavic,pl,conversational,0.980795,45.9229,41.2017,0.763264000415802
nllb,slavic,cs,conversational,0.98429,48.9535,36.3734,0.7773370146751404
nllb,slavic,uk,conversational,0.981878,49.4369,38.0901,0.7654169797897339
nllb,slavic,bg,conversational,0.984808,50.7842,35.7296,0.7934240102767944
nllb,slavic,sr,conversational,0.981029,52.8499,35.9442,0.7873430252075195
nllb,slavic,hr,conversational,0.985893,58.6356,29.5064,0.8133450150489807
nllb,slavic,sk,conversational,0.986063,50.9996,35.515,0.7864369750022888
nllb,slavic,sl,conversational,0.982721,45.8606,40.3433,0.7777310013771057
nllb,slavic,ru,cultural,0.967109,45.3674,36.5127,0.8689320087432861
nllb,slavic,pl,cultural,0.965595,43.8212,38.301,0.8749139904975891
nllb,slavic,cs,cultural,0.963761,40.6337,41.0581,0.8630719780921936
nllb,slavic,uk,cultural,0.961327,40.5052,39.7914,0.8531590104103088
nllb,slavic,bg,cultural,0.967214,48.9129,34.4262,0.8705880045890808
nllb,slavic,sr,cultural,0.961609,42.0224,38.7481,0.866523027420044
nllb,slavic,hr,cultural,0.961617,39.8604,48.0626,0.8606060147285461
nllb,slavic,sk,cultural,0.96543,39.532,43.1446,0.8609690070152283
nllb,slavic,sl,cultural,0.958066,32.5975,50.5216,0.8279749751091003
nllb,slavic,ru,idiomatic,0.968939,46.5409,37.2733,0.8400999903678894
nllb,slavic,pl,idiomatic,0.966878,42.1002,41.0343,0.8044700026512146
nllb,slavic,cs,idiomatic,0.96453,42.5626,41.4372,0.813480019569397
nllb,slavic,uk,idiomatic,0.968264,44.5789,38.6165,0.8268610239028931
nllb,slavic,bg,idiomatic,0.970623,48.091,34.8556,0.8298140168190002
nllb,slavic,sr,idiomatic,0.967778,42.7764,39.2881,0.8114609718322754
nllb,slavic,hr,idiomatic,0.969322,48.848,35.2586,0.8373069763183594
nllb,slavic,sk,idiomatic,0.964281,42.4773,40.497,0.8153200149536133
nllb,slavic,sl,idiomatic,0.960388,35.9474,46.7428,0.7886409759521484
nllb,slavic,ru,technical,0.956321,38.9367,42.6782,0.8524889945983887
nllb,slavic,pl,technical,0.952055,34.6003,48.7079,0.8246639966964722
nllb,slavic,cs,technical,0.954359,35.2326,46.9851,0.8367969989776611
nllb,slavic,uk,technical,0.945651,29.2385,72.7486,0.8001790046691895
nllb,slavic,bg,technical,0.9537,35.8118,48.7079,0.8147050142288208
nllb,slavic,sr,technical,0.954135,39.8999,42.4432,0.8217080235481262
nllb,slavic,hr,technical,0.931732,14.0807,97.4158,0.7765250205993652
nllb,slavic,sk,technical,0.950869,36.105,47.0634,0.8288609981536865
nllb,slavic,sl,technical,0.946194,29.2678,55.9906,0.7799779772758484
nllb,slavic,ru,legal,0.971526,38.5289,44.6607,0.8217319846153259
nllb,slavic,pl,legal,0.970011,33.5065,48.7423,0.8139489889144897
nllb,slavic,cs,legal,0.970954,35.6403,46.7489,0.8057339787483215
nllb,slavic,uk,legal,0.971674,38.7266,44.2335,0.8158980011940002
nllb,slavic,bg,legal,0.969199,32.3462,48.0778,0.7929499745368958
nllb,slavic,sr,legal,0.972311,41.4419,41.4808,0.8199380040168762
nllb,slavic,hr,legal,0.904445,7.1901,158.0921,0.723675012588501
nllb,slavic,sk,legal,0.96919,33.7116,46.2269,0.8043929934501648
nllb,slavic,sl,legal,0.966235,29.8047,52.9663,0.8001369833946228
nllb,slavic,ru,emotional,0.982182,44.1228,38.8554,0.8654860258102417
nllb,slavic,pl,emotional,0.982659,43.7058,39.6084,0.8656709790229797
nllb,slavic,cs,emotional,0.981426,44.1215,40.2108,0.873682975769043
nllb,slavic,uk,emotional,0.982415,44.6272,38.1526,0.8532019853591919
nllb,slavic,bg,emotional,0.983973,47.7437,35.743,0.8812159895896912
nllb,slavic,sr,emotional,0.983729,48.7043,34.2369,0.8650130033493042
nllb,slavic,hr,emotional,0.982932,46.9742,36.7972,0.878167986869812
nllb,slavic,sk,emotional,0.982434,44.4642,38.7048,0.8620719909667969
nllb,slavic,sl,emotional,0.980663,43.0331,41.3153,0.8584989905357361
nllb,semitic,ar,conversational,0.985547,55.3731,32.5107,0.8359469771385193
nllb,semitic,iw,conversational,0.987713,60.2128,27.5751,0.8138229846954346
nllb,semitic,mt,conversational,0.981928,52.7127,34.0129,0.7577270269393921
nllb,semitic,ar,cultural,0.963246,44.5674,37.0343,0.8333280086517334
nllb,semitic,iw,cultural,0.967642,48.8801,32.2653,0.8555200099945068
nllb,semitic,mt,cultural,0.966815,46.5154,35.544,0.8533390164375305
nllb,semitic,ar,idiomatic,0.972372,52.8777,32.908,0.8250349760055542
nllb,semitic,iw,idiomatic,0.97397,53.4589,30.3559,0.8219389915466309
nllb,semitic,mt,idiomatic,0.969376,44.9136,36.6689,0.7802029848098755
nllb,semitic,ar,technical,0.943643,32.8492,48.7079,0.7356020212173462
nllb,semitic,iw,technical,0.93902,30.2442,50.6656,0.7261599898338318
